"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
2659;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";40;"151-1";1;1107,79984228378
2660;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";40;"151-1";1;1178,26815342872
2686;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";50;"151-1";1;1103,39016326276
2687;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";50;"151-1";1;1182,39627942065
2713;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";50;"151-1";1;1092,41433353693
2714;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";50;"151-1";1;1173,38729235381
2740;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";60;"151-1";1;1103,39016326276
2741;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";60;"151-1";1;1182,39627942065
2767;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";60;"151-1";1;1092,41433353693
2768;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";60;"151-1";1;1173,38729235381
3004;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"152-2";1;1264,77738280837
3005;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";30;"152-2";1;1266,73108045064
3006;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";30;"152-2";1;1268,71242215797
3007;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";30;"152-2";1;1270,72200296877
3008;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2800;"G";30;"152-2";1;1272,76043525632
3009;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2900;"G";30;"152-2";1;1274,82834937017
3010;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";30;"152-2";1;1276,9263943064
3011;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";30;"152-2";1;1279,0552384085
3031;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"152-2";1;1254,698017729
3032;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";30;"152-2";1;1256,65171537128
3033;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";30;"152-2";1;1258,6330570786
3034;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";30;"152-2";1;1260,6426378894
3035;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2800;"P";30;"152-2";1;1262,68107017696
3036;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2900;"P";30;"152-2";1;1264,7489842908
3037;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";30;"152-2";1;1266,84702922703
3038;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";30;"152-2";1;1268,97587332913
3058;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"152-2";1;986,198909360487
3059;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";40;"152-2";1;988,859889346085
3060;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";40;"152-2";1;991,560742064373
3061;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";40;"152-2";1;994,302389137091
3062;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2800;"G";40;"152-2";1;997,085781497854
3063;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2900;"G";40;"152-2";1;999,911900598886
3064;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";40;"152-2";1;1046,51790063144
3065;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";40;"152-2";1;1104,59373139317
3085;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"152-2";1;973,133433170011
3086;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";40;"152-2";1;975,794413155609
3087;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";40;"152-2";1;978,495265873897
3088;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";40;"152-2";1;981,236912946615
3089;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2800;"P";40;"152-2";1;984,020305307378
3090;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2900;"P";40;"152-2";1;986,84642440841
3091;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";40;"152-2";1;1034,34769471123
