"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound";"COVERAGE";"BrH";"STA";"GAIN";"NAME";"LZB";"ELECTRIC"
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,767045454545455;55;"153";26017,4471917474;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9091;64;"153";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,686746987951807;38;"155B";10985,1443698489;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9008;64;"155B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,620253164556962;54;"157";18954,7584834565;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,873417721518987;54;"157";2747,20281778098;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9241;64;"157";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,623529411764706;56;"157A";20385,3062935287;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,882352941176471;54;"157A";2518,26924963257;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9059;65;"157A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,615384615384615;65;"157B";22173,4910561189;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,798076923076923;51;"157B";4349,73779481989;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9038;55;"157B";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,708333333333333;60;"161";13937,8949439936;"G5";FALSE;1
1900;"G";60;"180-1";1;904,055904786392;NA;905;0,9306;54;"161";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,740740740740741;62;"163A";13696,2634782928;"G2";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,888888888888889;62;"163A";2224,43915818002;"G9";FALSE;1
1900;"P";50;"G1206-4";1;1227,12105151181;NA;1228;0,9259;62;"163A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,743589743589744;54;"163B";13894,3270560821;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9012;56;"163B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,468085106382979;53;"165";6771,29084810233;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,680851063829787;50;"165";1611,74306944245;"G5";FALSE;1
2700;"G";50;"145-2";1;850,093825238187;NA;851;0,9149;50;"165";0;"S90";FALSE;1
1200;"G";80;"1144-1";1;603,787398110887;5117;604;0,825;56;"167";5554,70881750653;"G7";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9077;56;"167";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,84;50;"167A";2968,30927409665;"G5";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9077;56;"167A";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,664835164835165;54;"169";27806,2876463501;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9121;65;"169";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,491803278688525;56;"17";5781,65493149943;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9016;48;"17";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,6;56;"171";1156,33098629989;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9026;62;"171";0;"S90";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;1;65;"171A";101,100645765493;"G9";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9026;62;"171A";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,55;58;"173A";6559,9292489586;"G5";FALSE;1
1900;"G";60;"G1206-4";1;1227,12105151181;NA;1228;0,9;42;"173A";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,679775280898876;54;"173B";27806,2876463501;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9045;65;"173B";0;"S90";FALSE;1
1200;"G";80;"1144-1";1;603,787398110887;5117;604;0,849246231155779;56;"173C";28446,8421260183;"G7";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9196;65;"173C";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,761194029850746;54;"177A";18943,7601514166;"G6";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9026;62;"177A";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,7;67;"177B";8043,14105472938;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9026;62;"177B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,82089552238806;61;"181";13175,6549669744;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9;57;"181";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,878787878787879;53;"183";5588,93310044945;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9;57;"183";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,666666666666667;62;"185";8902,57126089029;"G2";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,904761904761905;37;"185";2780,54894772503;"G4";FALSE;1
1900;"P";50;"G1206-4";1;1227,12105151181;NA;1228;0,9524;50;"185";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,722627737226277;38;"187A";19079,4612739481;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"187A";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,775;54;"187B";5974,37676254941;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"187B";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,769230769230769;56;"19";5653,92242685076;"G5";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9038;57;"19";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;1;48;"191";16782,954828893;"G1";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9189;50;"191";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,86;54;"193A";20601,9332210872;"G2";FALSE;1
