"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"291";25;1;13623,3354340536;15554,1489477672;1;1,10391838945582;1,14098259513422;1,22960051571783;1,40233372572689;2
"293";152;14;83342,431215258;97026,3323018858;1;1,07562026380696;1,12368986404153;1,24043084652391;1,51812720660663;2
"295";10;0;4904,55922444493;5799,23377708743;1,0806779652092;1,12938917851341;1,1748058651039;1,21233665331197;1,35306891392664;2
"297";46;1;23171,51355372;26221,1863242032;1;1,05468505072872;1,06951343183352;1,20613203875252;1,3352595357145;2
"299";14;5;8387,22519708884;8833,49407153561;1;1;1,01795309891742;1,03742471122337;1,38636739039509;2
"303";102;6;54550,9735442534;62243,8611497872;1;1,09257821480013;1,15643904394073;1,20904770417945;1,33951751781169;2
"305";30;2;14865,0646505188;15680,9513902776;1;1,00978630356018;1,03785046947488;1,0965961877225;1,16939940716404;2
"319";73;7;38634,8350281702;44486,9110637657;1;1,0437847847437;1,09045953555458;1,20302555480103;1,58881848193345;2
"31";29;1;14595,1696178095;16072,3994728234;1;1,05980493444779;1,08024550171563;1,12566507144358;1,35306891392664;2
"329";30;4;16165,2782161535;17839,3395178458;1;1,0508594066725;1,09904166765465;1,13842426893376;1,2753170881757;2
"33";85;8;45363,9047224496;53745,077409044;1;1,06797272741716;1,18162238293643;1,28259690390979;1,51456957475948;2
"35";41;4;21443,959045102;24326,7125370035;1;1,05702429352792;1,12834493890613;1,20663387390533;1,3535033754917;2
"37";136;13;77157,2931226803;87912,409462517;1;1,06552576008738;1,14696303805287;1,24059077662669;1,45786312745388;2
"39A";63;4;33616,1807845135;38062,2995839113;1;1,0906330614835;1,12673460648464;1,18967080087931;1,27571146703728;2
"39B";59;5;31645,3940361197;35314,1586971398;1;1,03928511683252;1,10411864922525;1,17585503434413;1,33932630741287;2
"41";65;4;34539,2417846512;39899,5607744072;1;1,09516607166372;1,15155089985591;1,21350681317029;1,4657926850901;2
"43";39;2;22905,1677069214;26470,5562787774;1;1,10766840667115;1,15329859040429;1,1900389291449;1,56444045596366;3
"47";11;3;6122,51594358093;6835,13476593626;1;1,0299024672239;1,08842641959682;1,22618293018374;1,31937696905828;2
"53";82;4;47603,4496161078;52964,68401275;1;1,02539423127344;1,10723908213335;1,17956400708103;1,48233000833033;3
"55A";29;3;15780,74606523;17803,9566821849;1;1,04907550627605;1,14155365211598;1,18009477549971;1,3506071479587;2
"55B";51;5;28720,5015244861;34240,4798023753;1;1,08764290580664;1,21805996567472;1,31750798564569;1,49857452816138;2
"57A";177;16;96277,7060857183;109301,003902885;1;1,06797272741716;1,13287332433589;1,20108171100516;1,37074075907211;2
"57B";134;12;70202,1634654932;79497,0736322277;1;1,07570141160491;1,13632959322514;1,18986234376938;1,33364306082081;2
"5";42;4;23294,7955466692;26428,4146959114;1;1,05980493444779;1,10350404610306;1,14734944591573;1,43491117767104;2
"61";38;2;19307,1991404776;21920,0134548613;1;1,07896239752038;1,12219179259556;1,22669490519106;1,30961274465423;2
"63B";66;5;32855,6017431469;37334,0257665099;1;1,05278936793351;1,13658452924231;1,15521505534892;1,46612472202802;2
"65";50;4;26398,1048180115;29755,8454465499;1;1,0711326266145;1,11638813392253;1,20623502148808;1,28484065798986;2
"67";49;4;23727,9161908226;25945,3599302786;1;1,04145747756818;1,07828137681615;1,16535424239093;1,21169627852671;2
"71";44;4;20100,0312038277;21825,1628463059;1;1,07986766406362;1,09229779051257;1,09428649820128;1,20938216901162;2
"73";38;2;19560,7706602481;22664,0735068155;1;1,06969018737324;1,14854908904165;1,24666087662877;1,4113925337792;2
"741";42;9;23254,9543896163;25494,5506612052;1;1,03331824556026;1,08278017213429;1,16615406235706;1,30031094969947;2
"75";53;3;27296,9610772362;31274,9576095554;1;1,0748425672415;1,1503115210348;1,2157107042468;1,4113925337792;2
"777";3;0;1495,28881030857;1507,51895038351;1;1,00458297029664;1,00916594059329;1,01312059362506;1,01707524665682;1
"77A";124;10;66388,1166322997;73932,929352707;1;1,05980493444779;1,10343402574761;1,15442128010628;1,37591168992676;2
"77B";85;6;45935,1321916902;52730,1102845545;1;1,10160517810582;1,1518591046336;1,19895446069826;1,49053848600498;2
"79";135;13;71167,390851295;77621,414495901;1;1,01213668991886;1,05923510829491;1,12497195005535;1,38139952421985;2
"81A";107;8;55889,2886713688;61218,4335041405;1;1,01213668991886;1,05923510829491;1,14082990474928;1,35666397953036;2
"81B";27;2;14463,5968444918;16957,926571329;1;1,06517900103867;1,16811388077115;1,23499860553855;1,58716972721712;2
"87";56;4;30578,7076163683;35175,037003383;1;1,05890578175552;1,0923279254885;1,26470972777094;1,42823742408183;2
"89";137;11;69766,5749545994;75260,890217971;1;1,02059485319124;1,03075363602035;1,09413265921831;1,42031979705545;2
"91";99;6;48951,9115617396;51236,8714860143;1;1,01001943418566;1,03716659393331;1,07799009138674;1,14842268273567;2
"93";25;4;13174,0152043186;14016,3809001195;1;1,04343763569622;1,05461595944442;1,07189244776684;1,21516141754653;2
"95";128;7;62719,6259940409;65201,8523023682;1;1,00916594059329;1,01779203544233;1,05522732773068;1,17384025148237;2
"97";274;23;138547,124197453;152681,475796154;1;1,02201768769233;1,05153732849961;1,14771399468795;1,42031979705545;2
"99";42;4;24631,075878186;27756,4394610358;1;1,02274695013809;1,10912561340959;1,19249810689364;1,70301734468198;3
"9A";62;1;32310,1387059546;36621,1880722449;1;1,10074636935496;1,11223785338987;1,19573155718281;1,31357085559381;2
"9B";70;3;35871,2650300084;40815,89292007;1;1,06797272741716;1,12070954351603;1,20585462376911;1,36470861165391;2
