"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
471;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"152-3";1;608,667722796163
472;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"152-3";1;630,901785191079
473;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"152-3";1;656,822661066901
474;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"152-3";1;686,408535365507
494;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"155-1";1;686,575745343737
495;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"155-1";1;706,143278507451
496;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"G";"155-1";1;735,070461282314
497;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"G";"155-1";1;765,813166319466
498;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2800;"G";"155-1";1;803,195102763282
522;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"155-1";1;686,575745343737
523;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"155-1";1;706,143278507451
524;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2600;"P";"155-1";1;735,070461282314
525;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2700;"P";"155-1";1;765,813166319466
526;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2800;"P";"155-1";1;803,195102763282
548;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"G";"156-1";1;615,776654612838
