"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
661;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"145-2";2580;1;90;644,51326657475
676;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"1293-2";1680;1;65;921,334459946183
685;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185-2";3084;1;100;669,4829957287
711;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"294-1";1764;1;40;1056,52845475141
712;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"294-2";1789;1;40;850,482585930078
723;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"363-1";2376;2;60;1103,09711723805
758;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"203-1";1598;1;100;781,902042638094
776;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185-2";2885;1;90;655,133638272681
779;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"250-1";3476;1;90;855,123388143463
780;62;"G";90;0,958677685950413;0,925619834710744;1;0,925619834710744;0,909090909090909;"246-1";1882;1;90;749,605677110588
782;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"155-1";2823;1;90;663,00561932289
784;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"250-1";3326;1;90;849,100782178489
828;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";2283;1;100;695,791805181298
872;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"232-2";2762;1;100;852,467786771253
883;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"66-1";3726;1;90;876,356908242111
890;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2084;1;100;683,697100033551
